S_array_099_s0l_A1,S_array_099_s0l_A2,S_array_099_s0l_B1,S_array_099_s0l_B2,S_array_099_s0l_C1,S_array_099_s0l_C2
15,15,47,57,55,53
15,14,54,54,56,54
15,15,51,53,53,50
14,14,46,52,48,45
14,15,47,50,49,44
15,15,49,51,50,49
15,15,46,45,47,45
15,15,45,48,42,42
15,15,44,44,44,43
14,15,38,41,39,38
15,15,32,33,32,30
14,15,31,28,28,26
15,16,26,25,23,23
14,15,24,23,23,22
15,15,24,23,22,20
14,14,24,23,20,20
15,15,22,24,21,21
14,15,24,24,22,20
15,16,22,23,21,21
14,15,24,23,21,21
15,15,22,23,20,21
15,15,22,25,21,21
16,15,24,24,20,20
15,16,24,25,23,24
16,17,24,24,21,21
17,18,26,28,24,24
18,20,22,25,22,21
24,26,32,38,40,38
21,22,23,23,21,20
16,18,23,23,22,21
17,18,23,23,20,21
21,21,24,24,21,21
18,17,26,26,23,24
20,19,27,27,24,24
20,19,28,28,26,25
28,27,36,44,51,48
33,26,61,69,63,61
21,19,33,33,30,30
23,22,32,32,27,28
21,21,33,31,27,30
25,25,34,38,38,36
22,24,36,35,35,36
21,22,39,38,37,35
20,20,42,40,39,39
19,19,45,45,42,43
21,23,48,45,43,43
18,20,59,62,56,55
18,19,48,49,45,47
17,17,52,48,47,51
16,18,51,49,52,48
19,20,50,53,53,47
16,16,47,52,52,51
22,21,28,28,25,25
21,21,31,29,27,26
21,23,31,30,28,27
21,20,28,29,26,26
20,21,30,31,28,29
19,20,30,30,26,28
24,24,35,37,34,34
26,25,41,54,49,46
23,25,31,31,31,29
27,26,44,47,48,47
21,22,72,73,67,65
19,20,33,34,29,29
