S_array_099_s0q_A1,S_array_099_s0q_B1,S_array_099_s0q_C1
15,48,50
15,48,51
15,49,50
15,46,49
14,49,50
14,47,43
14,42,43
14,38,37
14,33,31
16,32,27
14,30,25
15,27,25
14,27,24
14,29,24
14,29,24
15,27,23
15,27,27
15,25,24
15,27,23
15,26,24
16,28,27
17,26,23
16,30,30
17,26,24
23,37,43
21,25,25
16,25,23
17,26,22
21,25,24
18,26,24
21,27,25
20,28,25
24,31,37
35,64,64
23,29,27
23,33,30
19,38,34
26,47,49
25,48,51
23,46,45
18,43,44
20,48,45
22,51,49
19,48,48
19,51,49
15,51,46
16,55,54
16,50,51
15,49,52
17,55,54
16,49,48
15,53,54
30,31,29
22,31,30
29,45,52
20,32,30
22,37,38
20,38,36
20,43,42
19,39,38
18,47,42
21,42,42
21,68,67
22,49,45
