S_array_099_s1_A1,S_array_099_s1_B1,S_array_099_s1_C1
36,92,90
40,94,96
38,88,93
38,83,88
36,88,91
39,90,97
36,84,87
37,85,86
38,85,88
35,85,90
36,80,75
35,71,80
36,59,74
35,58,70
32,47,67
31,43,62
28,35,54
20,30,33
23,29,28
27,28,27
29,29,26
25,29,27
19,32,31
20,32,27
21,32,28
23,28,27
21,34,28
21,33,29
23,36,31
27,36,30
26,37,37
25,38,33
26,47,52
27,40,35
29,41,37
25,37,34
23,61,59
23,32,27
22,28,25
30,44,61
25,44,37
29,60,65
33,68,66
33,83,72
35,88,87
38,94,89
37,97,91
36,99,98
37,101,98
38,109,102
40,106,103
40,107,102
26,50,51
24,37,35
24,40,35
25,42,37
20,27,23
21,27,27
18,29,25
19,27,23
26,35,31
22,38,33
26,40,37
35,59,80
